,tracks_id,genres_all
0,2,21
1,3,21
2,5,21
3,139,17
4,141,17
5,182,12
6,194,17
7,209,17
8,210,17
9,212,17
10,213,10
11,237,4
12,398,15
13,399,15
14,424,38
15,459,12
16,535,17
17,540,17
18,550,15
19,573,25
20,574,25
21,584,21
22,585,21
23,590,4
24,591,4
25,592,4
26,593,4
27,602,17
28,621,17
29,625,17
30,629,17
31,631,17
32,633,12
33,666,2
34,667,2
35,679,21
36,681,21
37,694,21
38,695,21
39,696,12
40,701,12
41,704,2
42,705,2
43,714,17
44,716,17
45,720,12
46,822,10
47,831,4
48,832,4
49,833,4
50,834,4
51,835,4
52,853,2
53,890,17
54,895,17
55,897,38
56,1022,4
57,1023,4
58,1029,12
59,1058,4
60,1059,4
61,1060,4
62,1061,4
63,1063,4
64,1064,4
65,1068,38
66,1072,38
67,1082,2
68,1121,15
69,1126,12
70,1151,4
71,1152,4
72,1153,4
73,1154,4
74,1155,4
75,1193,17
76,1195,17
77,1197,17
78,1259,38
79,1276,38
80,1292,12
81,1298,12
82,1366,12
83,1382,25
84,1413,12
85,1416,12
86,1443,38
87,1450,12
88,1481,15
89,1485,15
90,1498,38
91,1510,38
92,1534,12
93,1544,17
94,1545,17
95,1548,15
96,1553,15
97,1635,15
98,1644,10
99,1661,10
100,1666,10
101,1674,38
102,1677,15
103,1682,2
104,1683,2
105,1684,2
106,1685,2
107,1686,2
108,1689,2
109,1705,17
110,1706,12
111,1797,12
112,1804,12
113,1822,12
114,1831,12
115,1836,12
116,1888,12
117,1893,17
118,1926,17
119,1930,12
120,1963,4
121,1964,4
122,1965,4
123,1966,4
124,1967,4
125,1996,4
126,2096,38
127,2099,10
128,3263,17
129,3272,17
130,3273,17
131,3401,12
132,3477,25
133,3490,12
134,3515,12
135,3518,12
136,3522,12
137,3532,10
138,3534,10
139,3535,10
140,3536,10
141,3537,10
142,3538,10
143,3581,12
144,3584,12
145,3612,25
146,3614,25
147,3638,12
148,3681,12
149,3696,12
150,3727,12
151,3761,26
152,3762,26
153,3763,26
154,3765,26
155,3766,26
156,3776,2
157,3777,2
158,3778,2
159,3832,17
160,3836,12
161,3908,17
162,3909,17
163,3910,17
164,3924,12
165,3929,12
166,3941,12
167,3943,12
168,3945,12
169,3957,12
170,3959,12
171,3981,12
172,4014,17
173,4067,17
174,4070,2
175,4075,2
176,4076,2
177,4079,2
178,4080,2
179,4091,2
180,4092,2
181,4093,2
182,4094,2
183,4095,2
184,4096,2
185,4099,2
186,4100,2
187,4102,2
